Participant,Condition,Session,Total_Trials,Total_Side1,Total_Side2,Runs_Side1,Runs_Side2,Mean_Run_Length_1,Mean_Run_Length_2,Lambda_1,Lambda_2,Observed_Prop_1,Predicted_Prop_1,Difference
3,2575,2,120,37,83,17,17,2.176470588235294,4.882352941176471,0.4594594594594595,0.20481927710843373,0.30833333333333335,0.3083333333333333,5.551115123125783e-17
3,5050,1,120,58,62,22,22,2.6363636363636362,2.8181818181818183,0.37931034482758624,0.3548387096774193,0.48333333333333334,0.4833333333333333,5.551115123125783e-17
3,5050,2,120,79,41,18,18,4.388888888888889,2.2777777777777777,0.22784810126582278,0.43902439024390244,0.6583333333333333,0.6583333333333333,0.0
3,7525,1,120,104,16,13,12,8.0,1.3333333333333333,0.125,0.75,0.8666666666666667,0.8571428571428571,0.009523809523809601
3,7525,2,120,94,26,12,12,7.833333333333333,2.1666666666666665,0.12765957446808512,0.46153846153846156,0.7833333333333333,0.7833333333333332,1.1102230246251565e-16
3,9010,1,120,117,3,4,3,29.25,1.0,0.03418803418803419,1.0,0.975,0.9669421487603305,0.008057851239669511
3,9010,2,120,116,4,3,2,38.666666666666664,2.0,0.025862068965517244,0.5,0.9666666666666667,0.9508196721311476,0.015846994535519077
4,1090,1,120,4,116,4,4,1.0,29.0,1.0,0.034482758620689655,0.03333333333333333,0.03333333333333333,0.0
4,1090,2,120,4,116,4,4,1.0,29.0,1.0,0.034482758620689655,0.03333333333333333,0.03333333333333333,0.0
4,2575,1,120,32,88,25,25,1.28,3.52,0.78125,0.2840909090909091,0.26666666666666666,0.26666666666666666,0.0
4,2575,2,120,61,59,42,42,1.4523809523809523,1.4047619047619047,0.6885245901639344,0.7118644067796611,0.5083333333333333,0.5083333333333333,0.0
4,2575,3,120,43,77,32,33,1.34375,2.3333333333333335,0.7441860465116279,0.42857142857142855,0.35833333333333334,0.3654390934844192,0.0071057601510858825
4,2575,4,120,18,102,16,16,1.125,6.375,0.8888888888888888,0.1568627450980392,0.15,0.15000000000000002,2.7755575615628914e-17
4,5050,1,120,111,9,10,9,11.1,1.0,0.0900900900900901,1.0,0.925,0.9173553719008265,0.007644628099173545
4,5050,2,120,117,3,3,2,39.0,1.5,0.02564102564102564,0.6666666666666666,0.975,0.9629629629629629,0.012037037037037068
4,7525,1,120,111,9,8,7,13.875,1.2857142857142858,0.07207207207207207,0.7777777777777777,0.925,0.9151943462897526,0.009805653710247442
4,7525,2,120,80,40,34,33,2.3529411764705883,1.2121212121212122,0.425,0.825,0.6666666666666666,0.6599999999999999,0.00666666666666671
4,7525,3,120,93,27,27,26,3.4444444444444446,1.0384615384615385,0.29032258064516125,0.9629629629629629,0.775,0.7683508102955194,0.006649189704480585
4,9010,1,120,117,3,4,3,29.25,1.0,0.03418803418803419,1.0,0.975,0.9669421487603305,0.008057851239669511
4,9010,2,120,118,2,3,2,39.333333333333336,1.0,0.02542372881355932,1.0,0.9833333333333333,0.975206611570248,0.008126721763085265
